# Title: Arctic Sea-Ice Area (SIA) derived from sea-ice concentration for different sources
# Summary: Monthly mean Arctic sea-ice area calculated from monthly or daily mean sea-ice concentration fields.
#          Daily mean sources are averaged monthly. Temporal gaps <7 days and spatial gaps <1000 grid cells are interpolated.
# Institution: Institut für Meereskunde, University of Hamburg
# Time coverage start: 1979
# Time coverage end: 2024
# Creator email: uhhsia.ifm@uni-hamburg.de
# License: Creative Commons Attribution 4.0 International (CC BY 4.0)
# Product version: v2023_fv0.01 (previous version: v2019_fv0.01)
# Master DOI: https://doi.org/10.25592/uhhfdm.8559
# Product name: UHH-SeaIceArea (UHH-SIA)
# Source: Satellite
# References: See NetCDF attributes for detailed references of original sea-ice concentration datasets
# Citation: Rauschenbach, Q., Dörr, J., Notz, D., and Kern, S., 2023, UHH sea-ice area product, 1850-2023,
#           University of Hamburg, v2023_fv0.01, https://doi.org/10.25592/uhhfdm.11346
#
# Notes: This CSV contains September-only SIA data derived from the full NetCDF dataset.
#
# Extended by Sarah Thomae for the year 2024, running the same processing scripts
# 
year,nsidc_bt,nsidc_nt,osisaf
1979,6.880160888036092,5.747778129577637,6.437383163541667
1980,7.522266292572022,6.099092690149943,6.755692582291668
1981,7.074496841430664,5.645140997568766,6.198304210416667
1982,7.155805937449137,5.585095802942912,6.011954093749998
1983,7.271138159434001,5.940353012084961,6.4177910958333335
1984,6.897886848449707,5.344140974680583,5.873808671875
1985,6.8035463492075605,5.508410882949829,6.158880938541665
1986,7.2954250494639075,5.985542058944702,6.6107930020833345
1987,7.218576463063558,6.064018456141154,6.50931078125
1988,7.231757513682047,5.753848663965861,6.26121893125
1989,6.719519678751627,5.1913390000661215,5.692919720833333
1990,6.033562533060709,4.897362724939982,5.269911979166667
1991,6.352756675084432,4.825497754414877,5.369106945833334
1992,7.2310035705566404,5.761666679382325,6.264370681250002
1993,6.174230082829793,4.938736343383789,5.411043772916668
1994,6.906000280380249,5.502637831370036,6.13416676875
1995,5.94724752108256,4.787810675303141,5.213214014583334
1996,7.34921711285909,5.936582072575887,6.304168639583333
1997,6.419022258122762,5.199920733769734,5.578747837499999
1998,6.18732164700826,4.626881011327108,5.250981862499999
1999,5.804954751332601,4.635951646169027,5.0443608895833325
2000,5.979914569854737,4.650397030512492,5.234467227083333
2001,6.322698354721069,4.8914744059244795,5.481191168749999
2002,5.588853534062704,4.360139481226603,4.801720014583334
2003,5.7678824742635095,4.368166573842367,5.046681770833333
2004,5.784491237004598,4.723861646652222,5.123630472916665
2005,5.281100289026896,4.390492471059163,4.703493210416667
2006,5.543866952260335,4.337027676900228,4.7668767249999995
2007,4.073278896013895,3.1035227378209433,3.5388424562500007
2008,4.509532737731933,3.3185999472935994,3.89464948125
2009,5.075293493270874,3.8245749473571777,4.393097425
2010,4.664265219370524,3.3976749658584593,3.9136580187500005
2011,4.3758175055185955,3.2771202007929485,3.868661489583334
2012,3.3688474178314207,2.4675564845403035,3.0049114791666662
2013,5.014958969751993,3.846820290883382,4.34428451875
2014,4.977965354919434,3.8070667425791425,4.290257947916667
2015,4.469714736938476,3.4923022031784057,4.02720179375
2016,4.207196116447449,2.970755624771118,3.652523341666667
2017,4.620594533284505,3.403456727663676,4.028719972916667
2018,4.516228659947713,3.4199886322021484,3.854028408333334
2019,4.176605621973674,3.2353126843770346,3.7411264500000003
2020,3.807939569155375,2.8954381783803305,3.3832659312499995
2021,4.679954592386881,3.535579705238342,4.173274914583333
2022,4.6479752858479815,3.542818482716878,4.071050933333334
2023,4.087182172139486,2.8940386215845746,3.581750825
2024,4.149809010823568,2.9790345072746276,3.676242095833333
